cell_id,lat,lon,tile_id,name
3664,4.2,73.5,13_11,"Male, Maldives"
8037,-21.1,-175.2,17_28,"Nuku‘alofa, Tonga"
8211,32.3,-64.8,9_46,"Hamilton, Bermuda"
8259,-4.6,55.5,14_8,"Victoria, Seychelles"
8419,1.3,173.0,13_27,"Tarawa, Kiribati"
8540,7.1,171.4,12_26,"Majuro, Marshall Islands"
8598,-8.5,179.2,15_28,"Funafuti, Tuvalu"
8626,-21.2,-159.8,17_31,"Avarua, Cook Islands"
8677,-15.9,-5.7,16_55,"Jamestown, Saint Helena"
8714,-19.1,-169.9,17_29,"Alofi, Niue"
8725,-0.6,166.9,14_26,"Yaren, Nauru"
8735,-12.2,96.8,15_15,"West Island, Cocos Islands"
8736,-29.1,168.0,18_26,"Kingston, Norfolk Island"
8737,-25.1,-130.1,17_35,"Adamstown, Pitcairn"
