cell_id,elevation
0,11.4
1,4.6
2,19.5
3,907.7
4,48.9
5,6.1
6,333.0
7,11.2
8,868.9
9,42.8
10,45.2
11,28.3
12,210.2
13,6.3
14,15.6
15,0.8
16,22.2
17,16.9
18,4.8
19,327.3
20,15.6
21,293.8
22,7.3
23,5.4
24,212.5
25,36.4
26,182.9
27,616.9
28,808.2
29,85.2
30,205.9
31,641.1
32,2604.1
33,2474.2
34,10.3
35,472.5
36,213.9
37,-1.5
38,102.1
39,7.9
40,1.4
41,736.0
42,527.5
43,2785.6
44,5.9
45,8.1
46,17.5
47,59.7
48,48.9
49,1.6
50,26.3
51,53.0
52,11.6
53,110.7
54,269.4
55,210.8
56,5.4
57,13.4
58,1571.9
59,213.7
60,68.1
61,23.0
62,25.6
63,48.9
64,9.9
65,224.7
66,298.1
67,38.5
68,1613.5
69,21.4
70,951.5
71,313.8
72,11.6
73,-0.7
74,80.7
75,2262.1
76,648.9
77,71.9
78,38.3
79,89.5
80,5.7
81,81.9
82,6.5
83,47.3
84,8.1
85,2390.0
86,1977.2
87,2700.2
88,-1.5
89,61.5
90,2.2
91,8.5
92,11.2
93,210.4
94,1204.0
95,45.0
96,21.2
97,-2.1
98,58.7
99,94.4
100,900.4
101,98.0
102,96.8
103,366.8
104,188.2
105,46.6
106,128.4
107,165.1
108,1887.6
109,45.2
110,568.1
111,55.6
112,60.9
113,5.4
114,34.4
115,21.4
116,30.9
117,211.4
118,116.2
119,67.4
120,60.9
121,412.5
123,73.8
124,308.5
125,204.3
126,61.1
127,10.5
128,228.8
129,24.4
130,66.0
131,1257.9
132,16.1
133,218.0
134,8.9
135,80.3
136,53.6
137,44.8
138,23.2
139,250.6
140,1211.0
141,33.6
142,2180.5
143,454.7
144,8.5
145,223.3
146,19.9
147,47.1
148,3.8
149,0.1
150,6.5
151,75.8
152,1161.6
153,14.8
154,1699.8
155,36.9
156,33.4
157,178.4
158,1.8
159,650.5
160,18.5
161,1262.6
162,68.5
163,19.7
164,20.9
165,237.9
166,768.4
167,36.4
168,93.1
169,395.4
170,84.6
171,305.7
172,39.3
173,2.4
174,15.0
175,6.1
176,223.7
177,10.5
178,28.7
179,96.8
180,765.5
181,13.6
182,2182.5
183,51.1
184,821.4
185,926.3
186,8.9
187,128.6
188,126.2
189,2.0
190,119.7
191,82.7
192,62.6
193,222.2
194,7.3
195,15.6
196,4.8
197,303.2
198,2300.4
199,1028.4
200,71.7
201,185.7
202,112.9
203,2426.3
204,24.0
205,1155.9
206,740.3
207,122.9
209,2177.6
210,783.5
211,440.3
212,589.3
213,787.2
214,37.5
215,1574.6
216,84.2
217,12.4
218,85.2
219,25.6
220,5.2
221,11.0
223,134.5
224,39.7
225,212.0
226,418.8
228,2.4
229,55.8
230,8.3
231,219.4
232,11.0
233,1309.7
234,594.6
235,41.1
236,13.4
237,118.2
238,33.8
239,7.3
240,745.6
241,894.2
242,200.2
243,11.2
244,23.8
245,109.3
246,396.0
247,41.3
248,103.1
249,52.6
250,28.3
251,119.7
252,59.1
253,109.1
254,40.5
255,-17.6
256,11.4
257,2.2
258,9.9
259,396.2
260,123.3
261,555.1
262,501.6
263,521.8
264,792.5
265,2188.0
266,33.8
267,317.9
268,40.5
269,1180.2
270,33.6
271,34.4
272,16.9
273,573.4
274,4.4
275,378.3
276,22.8
277,899.1
278,913.4
279,790.4
280,769.6
281,1936.8
282,34.4
283,250.4
284,19.5
285,21.8
286,539.0
287,1321.7
289,117.8
290,29.3
291,1055.3
292,75.0
293,35.4
294,136.2
295,5.9
296,37.5
297,878.9
298,45.4
299,127.6
300,547.1
301,2031.6
302,781.0
303,186.8
304,29.9
305,3.6
306,85.2
307,43.0
308,223.3
309,1038.2
310,395.6
311,127.8
312,18.3
313,1028.0
314,27.5
315,28.9
316,7.9
317,1573.4
318,10.1
319,15.8
320,215.9
321,97.2
322,1658.0
323,45.0
324,26.7
325,7.1
326,2282.1
327,65.8
328,518.8
329,144.9
330,128.6
331,123.5
332,2318.0
333,560.4
334,1188.7
335,1966.2
336,304.2
337,36.0
338,295.7
339,98.9
340,103.3
341,686.4
342,301.0
343,864.9
344,1418.0
345,483.5
346,63.8
347,33.4
348,3.4
349,4.2
350,226.5
351,79.3
352,636.2
353,57.2
354,62.3
355,35.8
356,610.5
357,8.9
358,206.9
359,38.1
360,24.8
361,1231.8
362,13.4
363,9.3
364,30.3
365,9.5
366,6.1
367,24.0
368,299.9
369,678.1
370,833.7
371,2291.2
372,268.1
373,19.5
374,295.7
375,6.3
376,1159.2
377,1.8
378,87.2
379,47.3
380,1784.6
381,79.3
382,22.6
383,19.9
384,44.8
385,58.1
386,133.9
387,84.6
388,4.6
389,1488.5
390,69.1
391,7.9
392,592.6
393,206.7
394,22.0
395,39.9
397,5.4
398,94.6
399,80.7
400,747.0
401,91.3
402,0.3
403,116.2
404,169.0
405,1132.6
406,739.2
407,37.9
408,35.4
409,1693.5
410,229.4
411,624.8
412,5.0
413,389.9
414,15.0
415,331.6
416,20.1
417,2.6
419,17.7
420,36.7
421,161.3
422,316.3
423,96.6
424,-8.4
425,1029.7
426,47.1
427,19.3
428,385.0
429,752.9
430,9.7
431,5.0
432,1099.8
433,1842.4
434,501.4
435,8.1
436,21.6
437,23.2
439,-2.3
440,458.8
441,1613.3
442,37.5
443,513.3
444,-0.5
445,59.5
446,87.8
447,11.4
448,83.4
449,41.7
450,11.2
451,1793.0
452,7.3
454,51.5
455,182.3
456,6.7
457,623.4
458,14.2
460,41.1
461,61.1
462,51.3
463,3.6
464,5.0
465,582.6
466,904.8
467,2.2
468,20.3
469,251.4
470,2414.4
471,70.1
472,145.4
473,5.7
474,6.9
475,183.7
476,8.3
477,4.4
478,21.4
479,2.8
480,1177.1
481,752.5
482,1.8
484,26.5
485,74.8
486,8.5
487,143.5
488,41.7
489,1346.2
490,4.4
491,16.9
492,117.2
493,28.5
494,384.8
495,25.8
496,15.4
497,14.2
