cell_id,elevation
0,11.4
1,4.6
2,19.5
3,907.8
4,48.9
5,6.1
6,333.0
7,11.2
8,869.1
9,42.8
10,45.2
11,28.3
12,210.2
13,6.3
14,15.6
15,0.8
16,22.2
17,16.9
18,4.8
19,327.3
20,15.6
21,293.8
22,7.3
23,5.4
24,212.5
25,36.4
26,182.9
27,616.9
28,808.3
29,85.2
30,205.9
31,641.2
32,2605.2
33,2475.1
34,10.3
35,472.5
36,213.9
37,-1.5
38,102.1
39,7.9
40,1.4
41,736.1
42,527.6
43,2786.8
44,5.9
45,8.1
46,17.5
47,59.7
48,48.9
49,1.6
50,26.3
51,53.0
52,11.6
53,110.7
54,269.4
55,210.8
56,5.4
57,13.4
58,1572.3
59,213.7
60,68.1
61,23.0
63,25.6
64,48.9
65,9.9
66,224.7
67,298.1
68,38.5
69,1613.9
71,21.4
72,951.7
73,313.8
74,11.6
75,-0.7
76,80.7
77,2262.9
79,649.0
80,71.9
81,38.3
82,89.5
83,5.7
84,81.9
85,6.5
86,47.3
87,8.1
88,2390.8
89,1977.8
90,2701.3
91,-1.5
92,61.5
93,2.2
94,8.5
95,11.2
96,210.4
97,1204.2
98,45.0
99,21.2
101,58.7
102,94.4
103,900.5
104,98.0
105,96.8
106,366.9
107,188.2
108,46.6
109,128.4
110,165.1
111,1888.2
112,45.2
113,568.2
114,55.6
115,60.9
116,5.4
117,34.4
118,21.4
119,30.9
120,211.4
121,116.2
122,67.4
124,60.9
125,412.5
127,73.8
128,308.5
129,204.3
130,61.1
131,10.5
132,228.8
133,24.4
134,66.0
135,1258.1
136,16.1
137,218.0
138,8.9
139,80.3
140,53.6
141,44.8
142,23.2
143,250.6
144,1211.2
145,33.6
146,2181.2
148,454.8
149,8.5
150,223.3
151,19.9
152,47.1
153,3.8
154,0.1
155,6.5
156,75.8
157,1161.8
158,14.8
159,1700.3
160,36.9
161,33.4
162,178.4
163,1.8
164,650.6
165,18.5
166,1262.8
167,68.5
168,19.7
169,20.9
170,238.0
171,768.5
172,36.4
173,93.1
174,395.4
175,84.6
176,305.7
177,39.3
178,2.4
179,15.0
180,6.1
181,223.7
182,10.5
183,28.7
184,96.8
185,765.6
186,13.6
187,2183.3
188,51.1
189,821.5
190,926.4
191,8.9
192,128.6
193,126.2
194,2.0
195,119.7
196,82.7
197,62.6
198,222.2
199,7.3
200,15.6
201,4.8
202,303.2
203,2301.3
204,1028.6
205,71.7
206,185.7
207,112.9
208,2427.2
209,24.0
210,1156.1
211,740.3
212,122.9
214,2178.4
215,783.6
216,440.3
217,589.4
218,787.3
219,37.5
220,1575.0
221,84.2
222,12.4
223,85.2
224,25.6
225,5.2
226,11.0
228,134.5
229,39.7
230,212.0
231,418.9
233,2.4
234,55.8
235,8.3
236,219.4
237,11.0
238,1309.9
239,594.7
240,41.1
241,13.4
242,118.2
243,33.8
244,7.3
245,745.6
246,894.4
247,200.2
248,11.2
249,23.8
250,109.3
251,396.0
252,41.3
253,103.1
254,52.6
255,28.3
256,119.7
257,59.1
258,109.1
259,40.5
260,-17.6
261,11.4
262,2.2
263,9.9
264,396.2
265,123.3
266,555.1
267,501.7
268,521.9
269,792.6
270,2188.8
271,33.8
272,317.9
273,40.5
274,1180.4
275,33.6
276,34.4
277,16.9
278,573.5
279,4.4
280,378.3
281,22.8
282,899.3
283,913.5
284,790.5
285,769.7
286,1937.4
287,34.4
288,250.4
289,19.5
290,21.8
291,539.0
292,1322.0
294,117.8
295,29.3
296,1055.5
297,75.0
298,35.4
299,136.2
300,5.9
301,37.5
302,879.1
303,45.4
304,127.6
305,547.2
306,2032.3
307,781.1
308,186.8
309,29.9
310,3.6
311,85.2
312,43.0
313,223.3
314,1038.4
315,395.6
316,127.8
317,18.3
318,1028.2
319,27.5
320,28.9
321,7.9
322,1573.8
323,10.1
324,15.8
325,215.9
326,97.2
327,1658.4
328,45.0
329,26.7
330,7.1
331,2282.9
332,65.8
333,518.8
334,144.9
335,128.6
336,123.5
337,2318.8
338,560.4
339,1188.9
341,1966.8
342,304.2
343,36.0
344,295.7
345,98.9
346,103.3
347,686.5
348,301.0
349,865.0
350,1418.3
351,483.5
352,63.8
353,33.4
354,3.4
355,4.2
356,226.5
357,79.3
358,636.3
359,57.3
360,62.3
361,35.8
362,610.6
363,8.9
364,207.0
365,38.1
366,24.8
367,1232.0
368,13.4
370,9.3
371,30.3
372,9.5
373,6.1
374,24.0
375,300.0
376,678.1
377,833.8
378,2292.1
379,268.1
380,19.5
381,295.7
382,6.3
383,1159.4
384,1.8
385,87.2
386,47.3
387,1785.1
388,79.3
389,22.6
390,19.9
391,44.8
392,58.1
393,133.9
394,84.6
395,4.6
396,1488.9
397,69.1
398,7.9
399,592.7
400,206.7
401,22.0
402,39.9
404,5.4
405,94.6
406,80.7
407,747.1
408,91.3
409,0.3
410,116.2
411,169.0
412,1132.8
413,739.3
414,37.9
415,35.4
417,1693.9
418,229.4
419,624.9
420,5.0
421,389.9
422,15.0
423,331.6
424,20.1
425,2.6
426,17.7
427,36.7
428,161.3
429,316.3
430,96.6
431,-8.4
432,1029.8
433,47.1
434,19.3
435,385.0
436,753.0
437,9.7
438,5.0
439,1100.0
440,1842.9
441,501.5
443,8.1
444,21.6
445,23.2
447,-2.3
448,458.8
449,1613.7
450,37.5
452,513.3
453,-0.5
454,59.5
455,87.8
456,11.4
457,83.4
458,41.8
459,11.2
460,1793.5
461,7.3
463,51.5
464,182.3
465,6.7
466,623.5
467,14.2
469,41.1
470,61.1
471,51.3
472,3.6
473,5.0
474,582.7
475,905.0
476,2.2
477,20.3
478,251.4
479,2415.3
480,70.1
481,145.4
482,5.7
483,6.9
484,183.7
485,8.3
486,4.4
487,21.4
488,2.8
489,1177.3
490,752.6
491,1.8
492,26.5
493,74.8
494,8.5
495,143.5
496,41.8
497,1346.5
498,4.4
499,16.9
500,117.2
501,28.5
502,384.8
503,25.8
504,15.4
505,14.2
507,626.7
