cell_id,name,population,action,merge_into,survivor_name,survivor_population,old_lat,old_lon,new_lat,new_lon,snap_km,old_base,new_base,offset_old_h,offset_new_h,offset_flip,old_tile_id,new_tile_id,new_tile_lat,new_tile_lon,tile_changed
8620,"Mata-Utu, Wallis and Futuna",6611,move,,,,-13.3,-176.2,-13.6,-172.6,390.75,-13.3_-176.2,-13.6_-172.6,-12,-12,False,20_18,20_18,-10.0,180.0,False
7795,"San Andrés, Colombia",64755,move_repull,,,,12.6,-81.7,12.6,-83.6,206.18,12.6_-81.7,12.6_-83.6,-5,-6,True,15_27,15_27,15.0,270.0,False
8565,"Saint Croix, U.S. Virgin Islands",11988,drop_dup_existing,"Fajardo, Puerto Rico","Fajardo, Puerto Rico",25825,17.7,-64.7,18.3,-65.7,125.04,17.7_-64.7,18.3_-65.7,-4,-4,False,14_29,14_29,20.0,290.0,False
8401,"Road Town, British Virgin Islands",22848,move,,,,18.4,-64.6,18.4,-65.7,116.06,18.4_-64.6,18.4_-65.7,-4,-4,False,14_29,14_29,20.0,290.0,False
8597,"The Valley, Anguilla",9514,drop_decision,"Basseterre, Saint Kitts and Nevis","Basseterre, Saint Kitts and Nevis",16252,18.2,-63.1,17.4,-62.8,94.46,18.2_-63.1,17.4_-62.8,-4,-4,False,14_29,14_29,20.0,290.0,False
8393,"Pago Pago, American Samoa",23564,move,,,,-14.3,-170.7,-14.0,-171.5,92.48,-14.3_-170.7,-14.0_-171.5,-11,-11,False,20_18,20_18,-10.0,180.0,False
8289,"Charlotte Amalie, U.S. Virgin Islands",30082,drop_dup_existing,"Fajardo, Puerto Rico","Fajardo, Puerto Rico",30082,18.3,-64.9,18.3,-65.7,84.46,18.3_-64.9,18.3_-65.7,-4,-4,False,14_29,14_29,20.0,290.0,False
8464,"Marigot, Saint Martin",19522,drop_decision,"Basseterre, Saint Kitts and Nevis","Basseterre, Saint Kitts and Nevis",16252,18.1,-63.1,17.4,-62.8,84.07,18.1_-63.1,17.4_-62.8,-4,-4,False,14_29,14_29,20.0,290.0,False
8617,"Cockburn Town, Turks and Caicos Islands",6946,move,,,,21.5,-71.1,21.8,-71.8,79.67,21.5_-71.1,21.8_-71.8,-5,-5,False,13_28,13_28,25.0,280.0,False
8577,"Philipsburg, Sint Maarten",10776,drop_decision,"Basseterre, Saint Kitts and Nevis","Basseterre, Saint Kitts and Nevis",16252,18.0,-63.0,17.4,-62.8,70.0,18.0_-63.0,17.4_-62.8,-4,-4,False,14_29,14_29,20.0,290.0,False
